name,description,image1,image2,category1,category2,location1,location2,location3,externalUrl1,externalUrl2,externalUrl3,externalUrl4,externalUrl5,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,price,discount,isRecommended
오사카 유니버설 스튜디오 재팬 입장권,USJ 공식 입장권으로 닌텐도 월드·해리포터 존 등 인기 어트랙션 이용.,,,티켓/입장권,테마파크,일본,오사카,,https://myrealt.rip/Njia40,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141019&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F46604-universal-studios-japan-e-ticket-osaka-qr-code-direct-entry%2F,https://www.kkday.com/ko/product/2247-universal-studios-japan-ticket-osaka?cid=19400,https://gyg.me/4eP5MCfw,https://kr.trip.com/travel-guide/attraction/osaka/universal-studios-japan-81012?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076618,USJ,Universal Studios Japan,오사카 유니버설,닌텐도 월드,해리포터,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,,,TRUE
오사카 유니버설 스튜디오 재팬 입장권 + 닌텐도 확약권,USJ 공식 입장권으로 닌텐도 월드·해리포터 존 등 인기 어트랙션 이용.,,,티켓/입장권,테마파크,일본,오사카,,https://myrealt.rip/Njib27,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141019&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F46604-universal-studios-japan-e-ticket-osaka-qr-code-direct-entry%2F,,https://gyg.me/zcnej1Eo,,USJ,Universal Studios Japan,오사카 유니버설,닌텐도 월드,해리포터,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,,,TRUE
오사카 유니버셜 스튜디오 재팬 익스프레스 패스 4/7,대기시간을 단축하는 Express Pass로 인기 어트랙션 빠른 이용.,,,교통/패스,지하철/시티패스,일본,오사카,,,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141023&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F3407-universal-studios-japan-express-pass-osaka%2F,https://www.kkday.com/ko/product/18618-universal-studios-japan-express-pass-osaka?cid=19400,https://gyg.me/5RuLB92e,https://kr.trip.com/travel-guide/attraction/osaka/universal-studios-japan-81012?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,USJ 익스프레스,Express Pass,빠른입장,대기줄단축,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,현장교환,가족여행,커플여행,자유여행,핫플,,,TRUE
오사카 유니버셜 스튜디오 재팬 익스프레스 패스 4,대기시간을 단축하는 Express Pass로 인기 어트랙션 빠른 이용.,,,교통/패스,지하철/시티패스,일본,오사카,,https://myrealt.rip/Njil8d,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141023&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F3407-universal-studios-japan-express-pass-osaka%2F,https://www.kkday.com/ko/product/18618-universal-studios-japan-express-pass-osaka?cid=19400,https://gyg.me/5RuLB92e,https://kr.trip.com/travel-guide/attraction/osaka/universal-studios-japan-81012?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,USJ 익스프레스,Express Pass,빠른입장,대기줄단축,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,현장교환,가족여행,커플여행,자유여행,핫플,,,TRUE
오사카 유니버셜 스튜디오 재팬 익스프레스 패스 7,대기시간을 단축하는 Express Pass로 인기 어트랙션 빠른 이용.,,,교통/패스,지하철/시티패스,일본,오사카,,https://myrealt.rip/Njina1,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141023&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F3407-universal-studios-japan-express-pass-osaka%2F,https://www.kkday.com/ko/product/18618-universal-studios-japan-express-pass-osaka?cid=19400,https://gyg.me/5RuLB92e,https://kr.trip.com/travel-guide/attraction/osaka/universal-studios-japan-81012?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,USJ 익스프레스,Express Pass,빠른입장,대기줄단축,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,현장교환,가족여행,커플여행,자유여행,핫플,,,TRUE
오사카 주유패스,지하철·버스 무제한과 주요 관광지 무료입장 혜택의 시티패스.,,,교통/패스,지하철/시티패스,일본,오사카,,https://myrealt.rip/Njio0c,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141030&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F82312-amazing-pass-osaka%2F,https://www.kkday.com/ko/product/12156-osaka-amazing-pass-e-ticket-japan?cid=19400,,https://kr.trip.com/things-to-do/detail/48361291?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,Osaka Amazing Pass,오사카패스,무료입장,무제한,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,,,TRUE
오사카 난카이 라피트 익스프레스 티켓 (간사이 공항 - 난바역),KIX–난바 구간 특급열차 라피트 지정석 e티켓.,,,교통/패스,공항열차/특급,일본,오사카,,https://myrealt.rip/Njiq72,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141033&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F599-kansai-airport-namba-train-ticket-osaka%2F,https://www.kkday.com/ko/product/19691-nankai-rapit-airport-express-kix-to-osaka?cid=19400,,https://kr.trip.com/things-to-do/detail/57078589?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,라피트,Rapi:t,난카이,공항열차,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,,,TRUE
오사카 지하철 패스,오사카 메트로/시티버스 무제한 탑승권(1~2일).,,,교통/패스,지하철/시티패스,일본,오사카,,https://myrealt.rip/NjjO08,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141034&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F11515-osaka-metro-1-2-day-pass-osaka%2F,https://www.kkday.com/ko/product/115045-osaka-metro-and-osaka-city-bus-day-pass-unlimited-rides-japan?cid=19400,,https://kr.trip.com/things-to-do/detail/50558277?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,Osaka Metro Pass,오사카 메트로,무제한,교통패스,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,,,TRUE
우메다 스카이 빌딩 공중정원 전망대 입장권,,,,티켓/입장권,전망대,일본,우메다,,https://myrealt.rip/NjjP09,,https://www.kkday.com/ko/product/22352-night-views-at-umeda-sky-building-kuchu-teien-observatory-osaka?cid=19400,https://gyg.me/amQmcBpw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
오사카 아베노 하루카스 300 전망대 입장권,300m 스카이덱에서 오사카 시내 파노라마 감상.,,,티켓/입장권,전망대,일본,오사카,,https://myrealt.rip/NjjQc3,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141036&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F2424-harukas-300-observatory-ticket-osaka%2F,https://www.kkday.com/ko/product/19513-osaka-abeno-harukas-300-observatory-tickets-japan?cid=19400,https://gyg.me/c1Bmjqwb,,Abeno Harukas,하루카스300,오사카 전망대,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,베스트셀러,,,TRUE
오사카 가이유칸 수족관 입장권,고래상어가 있는 대수조로 유명한 오사카 대표 수족관.,,,티켓/입장권,수족관/동물원,일본,오사카,,,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141038&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F598-osaka-aquarium-kaiyukan-japan%2F,https://www.kkday.com/ko/product/4849-osaka-aquarium-kaiyukan-ticket?cid=19400,,https://kr.trip.com/travel-guide/attraction/osaka/osaka-aquarium-kaiyukan-85082?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,Kaiyukan,가이유칸,오사카 수족관,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,베스트셀러,,,TRUE
오사카 소라니와온천,오사카 베이타워 대형 온천 테마파크 입장.,,,티켓/입장권,온천/스파,일본,오사카,,https://myrealt.rip/NjjRa0,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141039&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F21381-solaniwa-onsen-admission-ticket-osaka%2F,https://www.kkday.com/ko/product/32103-osaka-bay-tower-solaniwa-onsen-hot-spring-ticket-japan?cid=19400,,https://kr.trip.com/travel-guide/attraction/osaka/solaniwa-onsen-osaka-bay-tower-61891054?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,Solaniwa Onsen,소라니와,오사카 온천,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,베스트셀러,,,TRUE
아리마 온천 다이코노유 당일치기 입욕 티켓,,,,티켓/입장권,온천/스파,일본,,,https://myrealt.rip/NjjS32,,https://www.kkday.com/ko/product/182782?cid=19400,,https://kr.trip.com/travel-guide/attraction/kobe/taiko-no-yu-18314981?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
오사카 츠텐카쿠 타워 전망대 입장권,,,,티켓/입장권,전망대,일본,오사카,,,,,https://gyg.me/saKLeEhb,,전망대,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
오사카 한큐패스,오사카–교토–고베 한큐 전 노선 1/2일권.,,,교통/패스,지하철/시티패스,일본,오사카,,https://myrealt.rip/Njln9e,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141040&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F1512-hankyu-1-day-tourist-pass-osaka%2F,https://www.kkday.com/ko/product/23756-hankyu-tourist-1-or-2-day-pass?cid=19400,,https://kr.trip.com/things-to-do/detail/89296462?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,Hankyu Pass,한큐패스,교토 고베,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,베스트셀러,,,TRUE
JR 간사이 미니패스 3일권,,,,교통/패스,지하철/시티패스,일본,,,https://myrealt.rip/Njloc1,,https://www.kkday.com/ko/product/136346-jr-kansai-mini-pass?cid=19400,,https://kr.trip.com/things-to-do/detail/46695886?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
JR서일본 간사이 와이드 패스 5일권,,,,교통/패스,지하철/시티패스,일본,,,https://myrealt.rip/Njlq29,,https://www.kkday.com/ko/product/20317-japan-kansai-wide-area-pass?cid=19400,,https://kr.trip.com/things-to-do/detail/49937446?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
게이한패스 1일권 (교토-오사카),,,,교통/패스,지하철/시티패스,일본,오사카,,https://myrealt.rip/Njltb7,,https://www.kkday.com/ko/product/18573-kyoto-osaka-sightseeing-pass-pickup-at-keihan-stations-japan?cid=19400,,https://kr.trip.com/things-to-do/detail/89680492?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
하루카 특급열차 간사이 공항 <-> 교토/오사카/나라/고베/텐노지 편도(공항출발),,,,교통/패스,공항열차/특급,일본,오사카,,,,https://www.kkday.com/ko/product/18940-kansai-airport-haruka-ticket-japan?cid=19400,,https://kr.trip.com/things-to-do/detail/87364606?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
하루카 특급열차 간사이 공항 → 교토/오사카/나라/고베/텐노지 편도(공항출발),,,,교통/패스,공항열차/특급,일본,오사카,,https://myrealt.rip/Njlu69,,https://www.kkday.com/ko/product/18940-kansai-airport-haruka-ticket-japan?cid=19400,,https://kr.trip.com/things-to-do/detail/87364606?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
하루카 특급열차 간사이 공항 ← 교토/오사카/나라/고베/텐노지 편도(공항도착),,,,교통/패스,공항열차/특급,일본,오사카,,https://myrealt.rip/Njlwd7,,https://www.kkday.com/ko/product/18940-kansai-airport-haruka-ticket-japan?cid=19400,,https://kr.trip.com/things-to-do/detail/87364606?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
오사카 이코카 카드,간사이 지역 교통·편의점 결제 가능한 IC카드.,,,교통/패스,지하철/시티패스,일본,오사카,,,,,,,ICOCA,이코카 카드,간사이 교통카드,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,베스트셀러,,,TRUE
도쿄 스이카 카드,도쿄 교통 및 편의점 결제 가능한 충전식 IC카드.,,,교통/패스,지하철/시티패스,일본,도쿄,,,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141041&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F16917-suica-ic-card-tokyo,,,,Suica,스이카 카드,도쿄 교통카드,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,베스트셀러,,,TRUE
도쿄 스카이트리 전망대,도쿄 시내와 맑은 날 후지산까지 조망 가능한 전망대.,,,티켓/입장권,전망대,일본,도쿄,,https://myrealt.rip/Njlze4,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141042&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F41352-tokyo-skytree%2F,https://www.kkday.com/ko/product/10759-tokyo-skytree-observatory-advance-ticket-japan?cid=19400,,https://kr.trip.com/travel-guide/attraction/tokyo/tokyo-skytree-91422?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,Tokyo Skytree,도쿄 스카이트리,전망대,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,베스트셀러,,,TRUE
도쿄 타워 입장권,일본의 상징 도쿄 타워 전망대 입장.,,,티켓/입장권,전망대,일본,도쿄,,https://myrealt.rip/NjmV10,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141043&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F4911-tokyo-tower-main-observatory-ticket-tokyo%2F,https://www.kkday.com/ko/product/12271-japan-tokyo-tower-observatory-e-ticket?cid=19400,,https://kr.trip.com/travel-guide/attraction/tokyo/tokyo-tower-78880?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,Tokyo Tower,도쿄타워,도쿄 전망대,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,베스트셀러,,,TRUE
도쿄 롯폰기 힐즈 전망대 입장권,,,,티켓/입장권,전망대,일본,도쿄,,https://myrealt.rip/NjmX74,,https://www.kkday.com/ko/product/18946-tokyo-city-view-ticket-roppongi-hills-observatory?cid=19400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
도쿄 해리포터 스튜디오 입장권,,,,티켓/입장권,뮤지엄/전시,일본,도쿄,,https://myrealt.rip/Njmdd5,,https://www.kkday.com/ko/product/144383-warner-bros-studio-tour-tokyo-the-making-of-harry-potter-ticket?cid=19400,,https://kr.trip.com/travel-guide/attraction/tokyo/warner-bros-studio-tour-tokyo-the-making-of-harry-potter-136452473?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
도쿄 디즈니랜드 & 디즈니씨 입장권,,,,티켓/입장권,테마파크,일본,도쿄,,https://myrealt.rip/NjmZ48,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1148292&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F695,https://www.kkday.com/ko/product/19252-tokyo-disney-resort-disneyland-disneysea?cid=19400,,,도쿄,디즈니랜드,디즈니씨,도디,도씨,,,,,,,,,,,,,,,,,,,,,,,TRUE
도쿄 디즈니랜드 입장권,,,,티켓/입장권,테마파크,일본,도쿄,,https://myrealt.rip/NjmZ48,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1148292&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F695,https://www.kkday.com/ko/product/19252-tokyo-disney-resort-disneyland-disneysea?cid=19400,,https://kr.trip.com/travel-guide/attraction/urayasu/tokyo-disneyland-10758189?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,도쿄,디즈니랜드,디즈니씨,도디,도씨,,,,,,,,,,,,,,,,,,,,,,,TRUE
도쿄 디즈니씨 입장권,,,,티켓/입장권,테마파크,일본,도쿄,,https://myrealt.rip/NjmZ48,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1148292&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F695,https://www.kkday.com/ko/product/19252-tokyo-disney-resort-disneyland-disneysea?cid=19400,,https://kr.trip.com/travel-guide/attraction/urayasu/tokyo-disneysea-10521877?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,도쿄,디즈니랜드,디즈니씨,도디,도씨,,,,,,,,,,,,,,,,,,,,,,,TRUE
도쿄 지하철 메트로 패스 (24/48/72시간),,,,교통/패스,지하철/시티패스,일본,도쿄,,https://myrealt.rip/Njmja6,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1148293&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F1552,https://www.kkday.com/ko/product/5989?cid=19400,,,도쿄,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
도쿄 나리타 공항 스카이라이너 고속 열차 티켓,,,,교통/패스,공항열차/특급,일본,도쿄,,https://myrealt.rip/Njmkca,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1148295&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F1410,https://www.kkday.com/ko/product/7913?cid=19400,,https://kr.trip.com/things-to-do/detail/47313759?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,도쿄,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
[콤보상품] 스카이라이너 편도 + 도쿄 메트로패스,,,,교통/패스,공항열차/특급,일본,도쿄,,https://myrealt.rip/Njmmbb,,,,https://kr.trip.com/things-to-do/detail/64899790?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,도쿄,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
[시간지정/교환불필요] 도쿄 공항 리무진 버스 (시내 > 나리타 공항),,,,버스/이동,공항 리무진,일본,도쿄,,https://myrealt.rip/NjnUfa,,,,https://kr.trip.com/things-to-do/detail/61779269?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,도쿄,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
[시간지정/교환불필요] 도쿄 공항 리무진 버스 (나리타 공항 > 시내),,,,버스/이동,공항 리무진,일본,도쿄,,https://myrealt.rip/NjnVae,,,,https://kr.trip.com/things-to-do/detail/61779269?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,도쿄,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
파리 디즈니랜드 입장권,디즈니랜드® 파크·월트 디즈니 스튜디오 파크 입장.,,,티켓/입장권,테마파크,프랑스,파리,,https://myrealt.rip/NjnWc2,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141044&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F3969-disneyland-resort-paris%2F,https://www.kkday.com/ko/product/20829?cid=19400,,,Disneyland Paris,파리 디즈니,프랑스 테마파크,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,베스트셀러,,,TRUE
홍콩 디즈니랜드 입장권,란타우섬 위치 디즈니 리조트 입장권.,,,티켓/입장권,테마파크,홍콩,홍콩,,https://myrealt.rip/NjnX39,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141045&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F39-hong-kong-disneyland-resort-hong-kong%2F,https://www.kkday.com/ko/product/2301?cid=19400,,,Hong Kong Disneyland,홍콩 디즈니,란타우섬,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,베스트셀러,,,TRUE
상하이 디즈니랜드 입장권,주토피아 랜드 등 대형 어트랙션.,,,티켓/입장권,테마파크,중국,상하이,,https://myrealt.rip/NjnZfb,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141046&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F2128-disney-resort-shang-hai%2F,https://www.kkday.com/ko/product/7076?cid=19400,,,Shanghai Disneyland,상하이 디즈니,푸둥,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,베스트셀러,,,TRUE
